2464,16,-7856
2432,48,-7904
2464,48,-7856
2416,32,-7872
2448,48,-7856
2448,48,-7872
2448,48,-7872
2448,32,-7840
2480,48,-7808
2432,32,-7920
2464,48,-7856
2432,32,-7872
2464,32,-7824
2416,80,-7904
2480,64,-7936
2464,32,-7792
2432,32,-7744
2464,32,-7920
2448,32,-7840
2416,48,-7856
2400,48,-7904
2384,32,-7888
2416,64,-7872
2480,48,-7888
2432,32,-7872
2464,32,-7856
2432,16,-7888
2480,64,-7856
2496,64,-7872
2416,48,-7840
2448,64,-7904
2400,32,-7856
2448,48,-7824
2416,80,-7872
2448,16,-7888
2480,48,-7888
2480,48,-7856
2448,48,-7904
2432,32,-7904
2448,48,-7904
2416,32,-7872
2448,32,-7872
2432,16,-7856
2512,32,-7840
2432,64,-7872
2464,0,-7888
2432,48,-7840
2400,16,-7824
2416,64,-7872
2448,32,-7808
2448,32,-7840
2432,32,-7840
2480,48,-7872
2464,48,-7856
2496,64,-7920
2448,16,-8016
2464,48,-7856
2432,80,-7760
2368,32,-7856
2448,16,-7856
2400,48,-7840
2480,32,-7920
2432,48,-7824
2432,32,-7856
2400,64,-7872
2464,32,-7856
2432,64,-7872
2448,32,-7872
2464,32,-7920
2416,64,-7872
2416,64,-7904
2448,32,-7824
2528,48,-7888
2496,48,-7856
2432,32,-7872
2432,48,-7856
2448,48,-7888
2416,16,-7872
2432,48,-7856
2448,16,-7888
2464,-32,-7856
2464,48,-7856
2432,32,-7856
2464,32,-7856
2464,32,-7872
2448,64,-7888
2480,32,-7872
2448,48,-7904
2464,48,-7904
2400,32,-7872
2464,48,-7920
2432,32,-7840
2480,16,-7840
2464,48,-7600
2448,48,-7920
2416,48,-7760
2416,64,-7792
2416,64,-7840
2496,64,-7824
2432,16,-7824
2400,48,-7920
2464,48,-7888
2416,48,-7840
2432,0,-7856
2448,48,-7856
2416,32,-7904
2416,16,-7856
2432,32,-7856
2400,32,-7824
2416,48,-7856
2480,32,-7888
2448,16,-7888
2416,48,-7920
2432,32,-7872
2400,48,-7840
2400,64,-7872
2432,32,-7888
2448,16,-7904
2464,32,-7888
2448,32,-7872
2400,48,-7872
2432,48,-7856
2448,32,-7856
2416,48,-7904
2432,48,-7856
2432,32,-7888
2432,16,-7808
2480,48,-7840
2480,48,-7872
2432,64,-7840
2448,32,-7888
2368,32,-7856
